"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Slc9a2","GSM2545353",228,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,226999,"solute carrier family 9 (sodium/hydrogen exchanger), member 2","ENSMUSG00000026062","2210416H12Rik","1","protein_coding","abnormal fertility/fecundity","SLC9A2"
"Ptpn23","GSM2545336",2477,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,104831,"protein tyrosine phosphatase, non-receptor type 23, transcript variant X1","ENSMUSG00000036057","PTP-TD14","9","protein_coding","increased circulating HDL cholesterol level","PTPN23"
"Ddx3x","GSM2545339",25909,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,13205,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked, transcript variant X2","ENSMUSG00000000787","D1Pas1-rs2","X","protein_coding","abnormal placenta vasculature","DDX3X"
"Jph1","GSM2545345",1300,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,57339,"junctophilin 1, transcript variant X4","ENSMUSG00000042686","ENSMUSG00000054314","1","protein_coding","abnormal sarcoplasmic reticulum morphology","JPH1"
"Otp","GSM2545342",3,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,18420,"orthopedia homolog (Drosophila)","ENSMUSG00000021685",NA,"13","protein_coding","decreased eosinophil cell number","OTP"
"Sin3b","GSM2545346",2159,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,20467,"transcriptional regulator, SIN3B (yeast), transcript variant 1","ENSMUSG00000031622","2810430C10Rik","8","protein_coding","abnormal bone mineralization","SIN3B"
"Slc23a3","GSM2545347",2,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,22626,"solute carrier family 23 (nucleobase transporters), member 3, transcript variant X3","ENSMUSG00000026205","SVCT3","1","protein_coding","abnormal lung morphology","SLC23A3"
"Lclat1","GSM2545347",959,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,225010,"lysocardiolipin acyltransferase 1, transcript variant 1","ENSMUSG00000054469","AGPAT8","17","protein_coding","decreased circulating cholesterol level","LCLAT1"
"Pld3","GSM2545343",2798,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,18807,"phospholipase D family, member 3, transcript variant X3","ENSMUSG00000003363","Sam-9","7","protein_coding","decreased circulating glucose level","PLD3"
"Mib2","GSM2545350",3369,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,76580,"mindbomb homolog 2 (Drosophila), transcript variant 3","ENSMUSG00000029060","2210008I11Rik","4","protein_coding","abnormal eye morphology","MIB2"
"Pcyox1l","GSM2545342",456,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,240334,"prenylcysteine oxidase 1 like, transcript variant X1","ENSMUSG00000024579",NA,"18","protein_coding","abnormal auditory brainstem response","PCYOX1L"
"Cdh7","GSM2545340",2197,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,241201,"cadherin 7, type 2, transcript variant X10","ENSMUSG00000026312","9330156F07Rik","1","protein_coding","hypoactivity","CDH7"
"Nptx2","GSM2545352",70,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,53324,"neuronal pentraxin 2","ENSMUSG00000059991","narp","5","protein_coding","abnormal discrimination learning","NPTX2"
"Kdm5c","GSM2545380",4682,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,20591,"lysine (K)-specific demethylase 5C, transcript variant X5","ENSMUSG00000025332","D930009K15Rik","X","protein_coding","preweaning lethality complete penetrance","KDM5C"
"Stk25","GSM2545345",5093,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,59041,"serine/threonine kinase 25 (yeast)","ENSMUSG00000026277","1500019J11Rik","1","protein_coding",NA,"STK25"
"Cdh20","GSM2545363",1102,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,23836,"cadherin 20","ENSMUSG00000050840","Cdh7","1","protein_coding",NA,"CDH20"
"Slc2a4","GSM2545348",271,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,20528,"solute carrier family 2 (facilitated glucose transporter), member 4","ENSMUSG00000018566","Glut-4","11","protein_coding","abnormal circulating glucose level","SLC2A4"
"Gm7357","GSM2545349",6,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,664830,NA,"ENSMUSG00000102269",NA,"1","processed_pseudogene",NA,NA
"Gm33489","GSM2545351",78,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,102636424,"predicted gene, 33489, transcript variant X2","ENSMUSG00000113252",NA,"13","lncRNA",NA,NA
"Gm4852","GSM2545343",6,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,227061,NA,"ENSMUSG00000081185",NA,"1","processed_pseudogene",NA,NA
"Chrac1","GSM2545351",489,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,93696,"chromatin accessibility complex 1","ENSMUSG00000068391","2410152E03Rik","15","protein_coding",NA,"CHRAC1"
"Rb1cc1","GSM2545341",6432,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,12421,"RB1-inducible coiled-coil 1, transcript variant X2","ENSMUSG00000025907","2900055E04Rik","1","protein_coding","abnormal heart morphology","RB1CC1"
"Stk32b","GSM2545362",115,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,64293,"serine/threonine kinase 32B","ENSMUSG00000029123","2510009F08Rik","5","protein_coding",NA,"STK32B"
"Aamp","GSM2545353",5302,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,227290,"angio-associated migratory protein, transcript variant 2","ENSMUSG00000006299","Aamp-rs","1","protein_coding","embryonic lethality prior to organogenesis","AAMP"
"Nfya","GSM2545345",1047,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,18044,"nuclear transcription factor-Y alpha, transcript variant X5","ENSMUSG00000023994","Cbf-b","17","protein_coding","abnormal eye morphology","NFYA"
"Serpina3g","GSM2545350",10,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,20715,"serine (or cysteine) peptidase inhibitor, clade A, member 3G","ENSMUSG00000041481","2A2","12","protein_coding","abnormal memory T cell morphology","SERPINA3"
"Tdgf1","GSM2545349",202,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,21667,"teratocarcinoma-derived growth factor 1","ENSMUSG00000032494","CR1","9","protein_coding","abnormal amnion morphology","TDGF1"
"Gm4208","GSM2545352",4,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,100043070,"predicted gene 4208, transcript variant X2","ENSMUSG00000100426",NA,"1","lncRNA",NA,NA
"Cdc73","GSM2545336",945,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,214498,"cell division cycle 73, Paf1/RNA polymerase II complex component","ENSMUSG00000026361","8430414L16Rik","1","protein_coding","abnormal jaw morphology","CDC73"
"Kif21b","GSM2545350",1709,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,16565,"kinesin family member 21B, transcript variant X1","ENSMUSG00000041642","2610511N21Rik","1","protein_coding","decreased circulating HDL cholesterol level","KIF21B"
"Gm5415","GSM2545363",3,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,408191,"predicted gene 5415","ENSMUSG00000091318",NA,"1","protein_coding",NA,NA
"Slc25a16","GSM2545343",1515,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,73132,"solute carrier family 25 (mitochondrial carrier, Graves disease autoantigen), member 16","ENSMUSG00000071253","3110021G18Rik","10","protein_coding",NA,"SLC25A16"
"Stx3","GSM2545351",3484,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,20908,"syntaxin 3, transcript variant C","ENSMUSG00000041488","Syn-3","19","protein_coding","decreased total body fat amount","STX3"
"Cd99l2","GSM2545380",3032,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,171486,"CD99 antigen-like 2, transcript variant X4","ENSMUSG00000035776","Mic2l1","X","protein_coding","abnormal cellular extravasation","CD99L2"
"Fam20b","GSM2545353",3746,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,215015,"family with sequence similarity 20, member B, transcript variant X1","ENSMUSG00000033557","C530043G21Rik","1","protein_coding","abnormal digestive system development","FAM20B"
"Pgpep1l","GSM2545339",12,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,78444,"pyroglutamyl-peptidase I-like, transcript variant X1","ENSMUSG00000030553","C330024D12Rik","7","protein_coding",NA,"PGPEP1L"
"Ascl1","GSM2545350",71,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,17172,"achaete-scute complex homolog 1 (Drosophila)","ENSMUSG00000020052","ASH1","10","protein_coding","abnormal enteric neuron morphology","ASCL1"
"Slc25a27","GSM2545349",4785,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,74011,"solute carrier family 25, member 27, transcript variant X4","ENSMUSG00000023912","3632410G24Rik","17","protein_coding",NA,"SLC25A27"
"Ptgdr","GSM2545352",48,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,19214,"prostaglandin D receptor","ENSMUSG00000071489","DP","14","protein_coding","decreased basophil cell number","PTGDR"
"Dsc3","GSM2545346",12,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,13507,"desmocollin 3, transcript variant 1","ENSMUSG00000059898","5430426I24Rik","18","protein_coding","absent optic nerve","DSC3"
"Scg2","GSM2545350",9195,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,20254,"secretogranin II","ENSMUSG00000050711","Chgc","1","protein_coding","decreased startle reflex","SCG2"
"Nadk","GSM2545343",3072,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,192185,"NAD kinase, transcript variant 2","ENSMUSG00000029063","4432404C02Rik","4","protein_coding","decreased total body fat amount","NADK"
"Col11a2","GSM2545352",581,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,12815,"collagen, type XI, alpha 2, transcript variant X9","ENSMUSG00000024330",NA,"17","protein_coding","decreased cardiac output","COL11A2"
"Clic4","GSM2545347",4976,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,29876,"chloride intracellular channel 4 (mitochondrial)","ENSMUSG00000037242","D0Jmb3","4","protein_coding","abnormal angiogenesis","CLIC4"
"Vsx2","GSM2545338",3,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,12677,"visual system homeobox 2, transcript variant 1","ENSMUSG00000021239","Chx10","12","protein_coding","Harderian gland hypertrophy","VSX2"
"Nfya","GSM2545339",944,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,18044,"nuclear transcription factor-Y alpha, transcript variant X5","ENSMUSG00000023994","Cbf-b","17","protein_coding","abnormal eye morphology","NFYA"
"Etv4","GSM2545344",305,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,18612,"ets variant 4","ENSMUSG00000017724","Pea-3","11","protein_coding","abnormal branching of the mammary ductal tree","ETV4"
"Get4","GSM2545353",1320,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,67604,"golgi to ER traffic protein 4 homolog (S. cerevisiae), transcript variant 1","ENSMUSG00000025858","1110007L15Rik","5","protein_coding","decreased startle reflex","GET4"
"Eif2s3y","GSM2545337",0,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,26908,"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked, transcript variant X2","ENSMUSG00000069049","Eif-2gy","Y","protein_coding","abnormal spermatid morphology",NA
"Ncmap","GSM2545339",46,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,230822,"noncompact myelin associated protein, transcript variant 1","ENSMUSG00000043924","A330049M08Rik","4","protein_coding",NA,"NCMAP"
"Gm2223","GSM2545351",28,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,100039419,NA,"ENSMUSG00000079297",NA,"X","processed_pseudogene",NA,NA
"Aox2","GSM2545344",0,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,213043,"aldehyde oxidase 2, transcript variant X1","ENSMUSG00000079554","Aox3l1","1","protein_coding",NA,NA
"Mfsd9","GSM2545353",176,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,211798,"major facilitator superfamily domain containing 9","ENSMUSG00000041945","4931419K03Rik","1","protein_coding",NA,"MFSD9"
"Mgst3","GSM2545344",1481,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,66447,"microsomal glutathione S-transferase 3","ENSMUSG00000026688","2010012L10Rik","1","protein_coding","decreased mean corpuscular volume","MGST3"
"Nfkbia","GSM2545363",999,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,18035,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha","ENSMUSG00000021025","I(Kappa)B(alpha)","12","protein_coding","abnormal B cell differentiation","NFKBIA"
"Rgs18","GSM2545346",5,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,64214,"regulator of G-protein signaling 18, transcript variant X1","ENSMUSG00000026357",NA,"1","protein_coding","abnormal bone marrow cell morphology/development","RGS18"
"Tacr3","GSM2545341",22,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,21338,"tachykinin receptor 3","ENSMUSG00000028172","neuromedin K receptor","3","protein_coding","decreased grip strength","TACR3"
"Vstm2a","GSM2545338",915,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,211739,"V-set and transmembrane domain containing 2A, transcript variant X1","ENSMUSG00000048834","9330184N17Rik","11","protein_coding","abnormal kidney morphology","VSTM2A"
"Mndal","GSM2545380",131,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,100040462,"myeloid nuclear differentiation antigen like, transcript variant X3","ENSMUSG00000090272","Ifi212","1","protein_coding",NA,NA
"Gnmt","GSM2545349",172,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,14711,"glycine N-methyltransferase","ENSMUSG00000002769","glycine N methyl transferase","17","protein_coding","abnormal amino acid level","GNMT"
"Serpinb10","GSM2545345",3,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,241197,"serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 10, transcript variant X1","ENSMUSG00000092572",NA,"1","polymorphic_pseudogene","abnormal kidney morphology","SERPINB10"
"Gm15825","GSM2545380",4,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,102635013,"predicted gene 15825","ENSMUSG00000089787",NA,"1","lncRNA",NA,NA
"Fam163a","GSM2545339",83,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,329274,"family with sequence similarity 163, member A","ENSMUSG00000015484","A230106N23Rik","1","protein_coding","abnormal iris morphology","FAM163A"
"Abcc8","GSM2545354",2559,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,20927,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8, transcript variant X8","ENSMUSG00000040136","D930031B21Rik","7","protein_coding","impaired glucose tolerance","ABCC8"
"Serpina3g","GSM2545344",28,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,20715,"serine (or cysteine) peptidase inhibitor, clade A, member 3G","ENSMUSG00000041481","2A2","12","protein_coding","abnormal memory T cell morphology","SERPINA3"
"Spag16","GSM2545337",121,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,66722,"sperm associated antigen 16, transcript variant X2","ENSMUSG00000053153","4921511D23Rik","1","protein_coding","abnormal Sertoli cell morphology","SPAG16"
"Prss56","GSM2545339",2,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,69453,"protease, serine 56, transcript variant X3","ENSMUSG00000036480","1700027L20Rik","1","protein_coding","abnormal behavior","PRSS56"
"Ldoc1","GSM2545346",382,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,434784,"leucine zipper, down-regulated in cancer 1","ENSMUSG00000057615","LOC245441","X","protein_coding","abnormal maternal nurturing","LDOC1"
"Lor","GSM2545353",25,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,16939,"loricrin","ENSMUSG00000043165",NA,"3","protein_coding","abnormal heart morphology",NA
"Lclat1","GSM2545336",1001,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,225010,"lysocardiolipin acyltransferase 1, transcript variant 1","ENSMUSG00000054469","AGPAT8","17","protein_coding","decreased circulating cholesterol level","LCLAT1"
"Egfl6","GSM2545343",10,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,54156,"EGF-like-domain, multiple 6","ENSMUSG00000000402","Maeg","X","protein_coding","no abnormal phenotype detected","EGFL6"
"Klhl1","GSM2545354",216,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,93688,"kelch-like 1","ENSMUSG00000022076",NA,"14","protein_coding","abnormal gait","KLHL1"
"H2-Q6","GSM2545343",26,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,110557,"histocompatibility 2, Q region locus 6, transcript variant X7","ENSMUSG00000073409","0610037M15Rik","17","protein_coding",NA,"HLA-E"
"Vsx2","GSM2545362",24,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,12677,"visual system homeobox 2, transcript variant 1","ENSMUSG00000021239","Chx10","12","protein_coding","Harderian gland hypertrophy","VSX2"
"Idi1","GSM2545362",638,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,319554,"isopentenyl-diphosphate delta isomerase","ENSMUSG00000058258","4832416K17Rik","13","protein_coding","decreased grip strength","IDI1"
"Fbln5","GSM2545347",2529,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,23876,"fibulin 5","ENSMUSG00000021186","EVEC","12","protein_coding","abnormal aorta elastic fiber morphology","FBLN5"
"Mog","GSM2545348",4252,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,17441,"myelin oligodendrocyte glycoprotein","ENSMUSG00000076439","B230317G11Rik","17","protein_coding","abnormal T-helper 1 physiology","MOG"
"Ankrd44","GSM2545350",851,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,329154,"ankyrin repeat domain 44, transcript variant X1","ENSMUSG00000052331","E130014H08Rik","1","protein_coding",NA,"ANKRD44"
"Hnrnpc","GSM2545354",9393,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,15381,"heterogeneous nuclear ribonucleoprotein C, transcript variant 3","ENSMUSG00000060373","D14Wsu171e","14","protein_coding","abnormal lens morphology","HNRNPCL2"
"Inpp5k","GSM2545351",2723,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,19062,"inositol polyphosphate 5-phosphatase K, transcript variant X2","ENSMUSG00000006127","C62","11","protein_coding","increased neutrophil cell number","INPP5K"
"Rfx8","GSM2545347",6,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,619289,"regulatory factor X 8, transcript variant X1","ENSMUSG00000057173","4933400N17Rik","1","protein_coding","abnormal eye anterior chamber depth","RFX8"
